duongDan,zcrMean,specCenMean,specRolloffMean,mfcc_0_Mean,mfcc_1_Mean,mfcc_2_Mean,mfcc_3_Mean,mfcc_4_Mean,mfcc_5_Mean,mfcc_6_Mean,mfcc_7_Mean,mfcc_8_Mean,mfcc_9_Mean,mfcc_10_Mean,mfcc_11_Mean,mfcc_12_Mean,chroma_0_Mean,chroma_1_Mean,chroma_2_Mean,chroma_3_Mean,chroma_4_Mean,chroma_5_Mean,chroma_6_Mean,chroma_7_Mean,chroma_8_Mean,chroma_9_Mean,chroma_10_Mean,chroma_11_Mean
..\file-birdsong\songs\songs\xc64738.flac,0.21450091422872342,3119.049947685041,5639.484811336436,-435.64072,52.545444,-11.614997,32.458,-13.479878,-9.613951,5.060241,-4.3350573,-16.187992,0.30968004,-6.096226,-11.294946,-3.8606367,0.40652472,0.35547975,0.35800445,0.3697485,0.42653143,0.5406608,0.57988775,0.55311024,0.53013575,0.5959248,0.63923985,0.5287239
..\file-birdsong\songs\songs\xc67089.flac,0.11371049329890925,2855.3524911105806,6892.691367948987,-481.88828,72.132225,38.5345,6.525485,-3.193458,-14.950143,-10.9858265,-7.137958,-13.365916,-15.056249,-19.963713,-17.018713,-17.99825,0.36202833,0.33508155,0.3230551,0.34673133,0.36291078,0.3753335,0.3744539,0.39029405,0.4089372,0.44238046,0.48203433,0.41751793
..\file-birdsong\songs\songs\xc67229.flac,0.14150514855849006,1813.6466087168017,2272.884375648161,-334.29266,116.53596,-123.40099,-52.546494,27.756657,37.22979,-24.324375,-23.624863,-3.1785846,-13.809014,-37.60394,-10.921706,10.049256,0.4648854,0.18730731,0.11194177,0.07426228,0.06809143,0.09382177,0.19837137,0.37196556,0.38306016,0.25851762,0.5146359,0.8290406
..\file-birdsong\songs\songs\xc67307.flac,0.3702250436567437,3979.789379148679,5426.915282488846,-355.6719,41.242332,0.19287309,43.6345,-53.541107,20.576384,-0.86110353,-29.205313,-3.2797315,-8.3844795,-19.163883,0.97803044,-8.708276,0.541725,0.4681263,0.43055552,0.40103012,0.28011754,0.17012079,0.20766218,0.20522691,0.1750424,0.18410607,0.36405432,0.5537827
..\file-birdsong\songs\songs\xc69792.flac,0.3283311336888171,4302.46207374878,6385.560866199651,-389.9959,-107.16481,-80.76701,58.66634,15.192192,-6.658003,-9.606879,6.0535975,-7.6438394,3.861631,2.5591047,1.0747321,-3.7687628,0.25835404,0.263264,0.3518427,0.47818273,0.5228283,0.74970466,0.6665231,0.6928208,0.499577,0.3729071,0.27681842,0.2503241
..\file-birdsong\songs\songs\xc69855.flac,0.24686593055101375,3219.7097276816407,5381.427716491579,-291.79343,41.548805,-54.403,6.7263913,-15.8967,-1.5271921,-16.128357,-4.3621182,-10.265882,-8.99803,-14.764213,-2.54332,-3.8044295,0.46761915,0.49182954,0.4462686,0.3632717,0.28289962,0.26660746,0.29415593,0.31032002,0.33300614,0.340444,0.39825636,0.46061867
..\file-birdsong\songs\songs\xc70124.flac,0.25607769691780824,3203.565032715479,5108.348325128424,-378.50034,65.06983,16.27155,26.85961,-25.931469,-2.147483,6.405299,-1.903606,-4.645748,9.159973,-4.8954315,4.394298,0.77306706,0.43975058,0.40537423,0.3558117,0.3326731,0.4068446,0.423811,0.43370587,0.47406638,0.48246202,0.5323699,0.5189166,0.48204562
..\file-birdsong\songs\songs\xc70129.flac,0.39017427884615385,4163.044166317121,6191.381494482081,-380.40988,-5.332194,-85.147385,-5.105861,-32.772125,-24.553234,-25.167727,9.463422,-11.943742,-5.463877,-12.32007,3.7826393,-4.3131175,0.34208453,0.37111065,0.30104807,0.3119747,0.3400835,0.32239643,0.24988756,0.22961618,0.2392516,0.4381011,0.3143168,0.2637505
..\file-birdsong\songs\songs\xc70132.flac,0.3228289947058513,3797.538898888119,5658.110667181559,-398.516,-7.725428,-95.615364,-22.58874,-36.0229,0.57784146,-13.007449,-1.5375222,1.4399322,0.9952626,1.2046751,5.232412,2.9657996,0.46945328,0.49683487,0.47644693,0.4462419,0.44152254,0.41507033,0.45101303,0.4410025,0.42642495,0.46567994,0.4969007,0.4943991
..\file-birdsong\songs\songs\xc71024.flac,0.3394847565874036,3750.5508251272454,5337.111834093465,-360.23325,29.050169,-70.00961,-12.065119,-55.107796,-19.739086,-29.758526,-12.521513,-18.118147,-21.645624,-16.193853,-6.4077234,-9.627948,0.3699948,0.40170938,0.41973516,0.42703503,0.41568,0.384479,0.31773877,0.2918476,0.3181147,0.40253806,0.4537821,0.4433477
..\file-birdsong\songs\songs\xc71454.flac,0.3957439066896101,4679.54470382122,7603.765221500704,-220.38208,18.636822,0.690555,-5.32733,-23.136492,2.2860146,-20.259779,-9.091977,-12.92983,-11.744781,-10.183044,-5.297369,-12.340477,0.4424443,0.5006511,0.5919449,0.51202214,0.4420556,0.41032693,0.49022892,0.5077246,0.42536014,0.42072687,0.46031335,0.46631384
..\file-birdsong\songs\songs\xc71748.flac,0.3627162468786016,4060.266595371899,5936.198654497215,-434.30936,-2.2759542,-41.725178,25.55201,-27.30159,13.053469,-1.6022652,-1.073495,1.6453813,-5.1262007,1.4935374,-0.8147992,-1.6080132,0.55165416,0.6492593,0.6092821,0.5736662,0.5704598,0.56500626,0.52876854,0.4745486,0.44622862,0.41560745,0.40824646,0.45134896
..\file-birdsong\songs\songs\xc71943.flac,0.21246479832848839,3404.8256519179504,6691.9436432594475,-435.50662,48.85359,-20.991585,-0.43166053,17.335129,7.760288,3.564798,20.535471,19.263262,10.407758,3.3352377,9.548558,-3.3815458,0.5777327,0.65233237,0.59911746,0.5053646,0.44043338,0.43948984,0.50592214,0.52837586,0.48384914,0.47413537,0.4758536,0.4966277
..\file-birdsong\songs\songs\xc72629.flac,0.4895515625,5801.615605441629,7771.556953125,-435.8658,-189.15741,-22.401785,63.496105,-0.19090366,-1.8746907,-21.297997,12.054004,6.191821,1.0135949,-5.7413564,9.065911,-9.578088,0.3071703,0.23596162,0.25390056,0.4387698,0.7597721,0.3269942,0.19912581,0.21506058,0.2216709,0.23745146,0.35987023,0.52955055
..\file-birdsong\songs\songs\xc72861.flac,0.18440226928773829,2972.7211658143883,6067.531900538544,-276.13354,77.17571,3.205695,13.492341,2.126542,5.9027367,-1.4479574,6.896385,1.8868042,-0.57959455,-3.3060925,-1.2008681,-4.2914753,0.4101096,0.45740357,0.46272954,0.40658233,0.3982713,0.4298447,0.4326421,0.537145,0.5833171,0.47522154,0.44659328,0.43062714
..\file-birdsong\songs\songs\xc75092.flac,0.1114093294411447,1996.555745161216,3777.8640648201267,-467.94223,90.87774,-11.15619,40.179165,-21.232271,-21.097536,-19.544847,-32.217655,-26.089472,-14.526491,-18.277128,-3.6533153,0.3211682,0.367299,0.23217908,0.16911042,0.1466502,0.17623901,0.18702345,0.21043444,0.27621514,0.4261674,0.6158025,0.6701106,0.5491366
..\file-birdsong\songs\songs\xc76241.flac,0.24986965530988195,3424.548339303005,4718.776784811143,-401.39993,-82.396385,-111.18074,45.657093,31.79061,-3.566488,-9.218272,8.328943,-10.952396,-8.970076,15.54197,4.743675,-20.91566,0.05858332,0.08607347,0.17715031,0.3061546,0.33978233,0.3788241,0.44582146,0.3986763,0.249062,0.13741873,0.11519236,0.079522125
..\file-birdsong\songs\songs\xc76740.flac,0.18961111393865362,2512.0730555759487,4235.751730456026,-327.25427,108.5591,-15.886873,22.04221,-36.91879,6.7578254,15.140795,-5.406899,-0.69237983,4.8052616,-3.0244231,3.7559817,-0.42408472,0.562025,0.5455932,0.5448501,0.5665753,0.45536327,0.39732045,0.40363023,0.4561336,0.45835537,0.47008097,0.48220655,0.53131765
..\file-birdsong\songs\songs\xc76742.flac,0.15523719421904958,2127.155904056694,3582.901469899086,-297.66153,129.99376,-29.710026,1.8857601,-32.21162,10.892181,9.725424,-5.534665,2.9073644,7.3389974,-0.31751555,0.89415544,-0.54837227,0.47698462,0.4750105,0.49286392,0.532245,0.5115983,0.5070833,0.5132693,0.545723,0.54975015,0.5579069,0.55135065,0.513242
..\file-birdsong\songs\songs\xc76760.flac,0.25358066351099234,3343.877742582766,6062.877900930314,-365.35602,65.627945,6.3516803,28.148144,-23.029427,-3.549812,4.925307,0.5840329,-0.34757802,4.682919,-6.5461717,2.179322,-1.995519,0.52314615,0.49608552,0.41009662,0.38945493,0.38032877,0.39033487,0.4295501,0.47162986,0.5335842,0.5767804,0.5420768,0.52616566
..\file-birdsong\songs\songs\xc76761.flac,0.19771751872482377,3105.7570810792504,6351.481734445808,-378.5454,72.108696,8.293585,23.734169,-9.919741,-4.605449,-0.9838255,-1.8948367,-2.952974,4.347387,-5.2060647,3.075631,2.5845685,0.51659584,0.4826338,0.44250068,0.44733807,0.48578236,0.48669115,0.49187994,0.46781653,0.5208114,0.5742903,0.5731516,0.5243942
..\file-birdsong\songs\songs\xc76762.flac,0.2656827710896829,3383.0070656982953,6209.20051975494,-356.27542,66.99579,3.1569626,19.597841,-22.69086,-0.7164172,5.079923,7.864149,0.3864329,7.572392,-6.109186,-0.60202736,0.9235236,0.47770023,0.4257012,0.35857806,0.3556976,0.38929015,0.40247512,0.43691143,0.50607,0.59295315,0.62021285,0.5999559,0.5711423
..\file-birdsong\songs\songs\xc76765.flac,0.2558004728618421,3284.1495668318807,5733.3422645970395,-399.69464,58.54455,-4.409583,34.149353,-20.352774,2.9601245,8.10229,2.033053,1.0531389,7.887944,-6.1860623,3.0361686,-6.9624853,0.43305114,0.41807792,0.32454202,0.3008308,0.3135698,0.31909823,0.32846558,0.36127433,0.40680152,0.52240336,0.5922574,0.50526536
..\file-birdsong\songs\songs\xc76767.flac,0.27174499137269936,3988.1013274664115,6418.083481115797,-285.93924,18.045162,23.633923,49.568394,-22.022371,14.973145,-0.53781605,7.4536104,6.7213,7.3244114,6.5460534,4.6871295,3.6238317,0.49190876,0.587327,0.64138275,0.5666296,0.48803777,0.4851852,0.5122602,0.5619989,0.49946398,0.40062746,0.40218106,0.43197837
..\file-birdsong\songs\songs\xc77429.flac,0.28705264176633916,3773.573423832542,6085.523738478148,-297.90884,17.156725,-16.540215,48.55427,-2.4115624,-4.2708178,1.2515038,5.916682,-4.0053015,-1.2394791,-3.5427196,2.5780437,-2.7832716,0.34162617,0.36600357,0.3879255,0.37225783,0.34256157,0.353101,0.3863699,0.3886111,0.4414777,0.4332127,0.371073,0.35486072
..\file-birdsong\songs\songs\xc77645.flac,0.31535161927688954,3334.4743862082223,5579.50957542242,-322.13736,93.90064,8.764539,2.6471672,-28.10308,20.808796,-27.414547,6.355801,3.8084154,-20.259604,11.758217,-14.997737,0.96381956,0.38521203,0.35724628,0.408284,0.41280493,0.42694843,0.5651074,0.69400567,0.6132769,0.452206,0.3524284,0.32135564,0.3225408
..\file-birdsong\songs\songs\xc78951.flac,0.3240138647082158,4003.268357879389,6659.089916751146,-288.62103,18.727657,-23.594185,10.597616,-22.83254,-14.247885,-8.269764,-6.3794723,-25.648619,-11.286796,-3.3373537,-10.688182,-5.685178,0.4266284,0.39962354,0.41999656,0.4306942,0.45843196,0.5117278,0.5397367,0.5442816,0.55124253,0.5455479,0.43257234,0.417613
..\file-birdsong\songs\songs\xc78958.flac,0.4184870391825317,4565.506632303769,6298.13826872495,-332.1704,-27.216204,-59.580765,26.705763,-31.845514,4.018942,-21.510366,-2.7286413,-23.638292,-12.484948,-8.386459,-8.598688,-4.134149,0.19958068,0.22639556,0.25278416,0.30654228,0.37947935,0.40769276,0.40013722,0.36276513,0.37232617,0.43969715,0.32215032,0.22581571
..\file-birdsong\songs\songs\xc80356.flac,0.28533554667354305,3835.0064373600653,6802.493231046931,-333.92465,24.975603,-3.0983737,43.346275,12.368344,9.118897,4.4561906,0.8032565,1.9323734,4.361156,-7.5893393,0.26839465,-2.0544372,0.49516302,0.44564807,0.40482953,0.38363543,0.3322062,0.40530774,0.44792473,0.45324686,0.4452313,0.44291833,0.49647048,0.5714053
..\file-birdsong\songs\songs\xc82701.flac,0.12432458314308795,2273.557373995773,4391.775129403449,-445.7854,76.36387,-53.525894,-32.005974,-20.385082,-23.700327,-32.38307,-18.946154,-21.376333,-27.371067,-18.776085,-5.657648,-1.5297995,0.43209934,0.48081794,0.53708005,0.6070532,0.48495215,0.40484783,0.41900474,0.39201728,0.37488103,0.38530004,0.37707844,0.38679838
..\file-birdsong\songs\songs\xc82715.flac,0.3568050619188126,4256.299200300395,6163.964110280311,-401.01007,-41.12196,-73.64104,10.467527,-45.748222,-17.959911,-21.975864,-17.053562,-15.683222,-13.95167,-11.305537,-5.2100577,-8.505686,0.4547784,0.43392485,0.41785362,0.4632347,0.5097848,0.46061385,0.42830312,0.43165478,0.42036408,0.43176013,0.47600913,0.4705136
